X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0,-8.34194e-13,,0,-0.043355
4.38392e-05,5.49502e-05,,4.38392e-05,-0.0442383
0.000200089,0.00024869,,0.000200089,-0.0456833
0.000356339,0.000432873,,0.000356339,-0.0453706
0.000512589,0.00060042,,0.000512589,-0.0433134
0.000668839,0.000744894,,0.000668839,-0.0395924
0.000825089,0.000860742,,0.000825089,-0.0343519
0.000981339,0.000943512,,0.000981339,-0.0277944
0.00113759,0.000990024,,0.00113759,-0.0201724
0.00129384,0.000998489,,0.00129384,-0.011779
0.00145009,0.000968583,,0.00145009,-0.00293614
0.00160634,0.000901455,,0.00160634,0.00601734
0.00176259,0.000799685,,0.00176259,0.0147387
0.00191884,0.000667183,,0.00191884,0.0228943
0.00207509,0.000509041,,0.00207509,0.030172
0.00223134,0.000331338,,0.00223134,0.0362934
0.00238759,0.000140901,,0.00238759,0.0410237
0.00254384,-5.49502e-05,,0.00254384,0.0441814
0.00270009,-0.00024869,,0.00270009,0.0456444
0.00285634,-0.000432873,,0.00285634,0.0453556
0.00301259,-0.00060042,,0.00301259,0.0433247
0.00316884,-0.000744894,,0.00316884,0.0396282
0.00332509,-0.000860742,,0.00332509,0.0344067
0.00348134,-0.000943512,,0.00348134,0.0278599
0.00363759,-0.000990024,,0.00363759,0.0202387
0.00379384,-0.000998489,,0.00379384,0.0118359
0.00395009,-0.000968583,,0.00395009,0.00297506
0.00410634,-0.000901455,,0.00410634,-0.00600235
0.00426259,-0.000799685,,0.00426259,-0.0147499
0.00441884,-0.000667183,,0.00441884,-0.02293
0.00457509,-0.000509041,,0.00457509,-0.0302268
0.00473134,-0.000331338,,0.00473134,-0.0363589
0.00488759,-0.000140901,,0.00488759,-0.04109
0.00504384,5.49502e-05,,0.00504384,-0.0442383
0.00520009,0.00024869,,0.00520009,-0.0456833
0.00535634,0.000432873,,0.00535634,-0.0453706
0.00551259,0.00060042,,0.00551259,-0.0433134
0.00566884,0.000744894,,0.00566884,-0.0395924
0.00582509,0.000860742,,0.00582509,-0.0343519
0.00598134,0.000943512,,0.00598134,-0.0277944
0.00613759,0.000990024,,0.00613759,-0.0201724
0.00629384,0.000998489,,0.00629384,-0.011779
0.00645009,0.000968583,,0.00645009,-0.00293614
0.00660634,0.000901455,,0.00660634,0.00601734
0.00676259,0.000799685,,0.00676259,0.0147387
0.00691884,0.000667183,,0.00691884,0.0228943
0.00707509,0.000509041,,0.00707509,0.030172
0.00723134,0.000331338,,0.00723134,0.0362934
0.00738759,0.000140901,,0.00738759,0.0410237
0.00754384,-5.49502e-05,,0.00754384,0.0441814
0.00770009,-0.00024869,,0.00770009,0.0456444
0.00785634,-0.000432873,,0.00785634,0.0453556
0.00801259,-0.00060042,,0.00801259,0.0433247
0.00816884,-0.000744894,,0.00816884,0.0396282
0.00832509,-0.000860742,,0.00832509,0.0344067
0.00848134,-0.000943512,,0.00848134,0.0278599
0.00863759,-0.000990024,,0.00863759,0.0202387
0.00879384,-0.000998489,,0.00879384,0.0118359
0.00895009,-0.000968583,,0.00895009,0.00297506
0.00910634,-0.000901455,,0.00910634,-0.00600235
0.00926259,-0.000799685,,0.00926259,-0.0147499
0.00941884,-0.000667183,,0.00941884,-0.02293
0.00957509,-0.000509041,,0.00957509,-0.0302268
0.00973134,-0.000331338,,0.00973134,-0.0363589
0.00988759,-0.000140901,,0.00988759,-0.04109
0.0100438,5.49502e-05,,0.0100438,-0.0442383
0.0102001,0.00024869,,0.0102001,-0.0456833
0.0103563,0.000432873,,0.0103563,-0.0453706
0.0105126,0.00060042,,0.0105126,-0.0433134
0.0106688,0.000744894,,0.0106688,-0.0395924
0.0108251,0.000860742,,0.0108251,-0.0343519
0.0109813,0.000943512,,0.0109813,-0.0277944
0.0111376,0.000990024,,0.0111376,-0.0201724
0.0112938,0.000998489,,0.0112938,-0.011779
0.0114501,0.000968583,,0.0114501,-0.00293614
0.0116063,0.000901455,,0.0116063,0.00601734
0.0117626,0.000799685,,0.0117626,0.0147387
0.0119188,0.000667183,,0.0119188,0.0228943
0.0120751,0.000509041,,0.0120751,0.030172
0.0122313,0.000331338,,0.0122313,0.0362934
0.0123876,0.000140901,,0.0123876,0.0410237
0.0125438,-5.49502e-05,,0.0125438,0.0441814
0.0127001,-0.00024869,,0.0127001,0.0456444
0.0128563,-0.000432873,,0.0128563,0.0453556
0.0130126,-0.00060042,,0.0130126,0.0433247
0.0131688,-0.000744894,,0.0131688,0.0396282
0.0133251,-0.000860742,,0.0133251,0.0344067
0.0134813,-0.000943512,,0.0134813,0.0278599
0.0136376,-0.000990024,,0.0136376,0.0202387
0.0137938,-0.000998489,,0.0137938,0.0118359
0.0139501,-0.000968583,,0.0139501,0.00297506
0.0141063,-0.000901455,,0.0141063,-0.00600235
0.0142626,-0.000799685,,0.0142626,-0.0147499
0.0144188,-0.000667183,,0.0144188,-0.02293
0.0145751,-0.000509041,,0.0145751,-0.0302268
0.0147313,-0.000331338,,0.0147313,-0.0363589
0.0148876,-0.000140901,,0.0148876,-0.04109
0.0150438,5.49502e-05,,0.0150438,-0.0442383
0.0152001,0.00024869,,0.0152001,-0.0456833
0.0153563,0.000432873,,0.0153563,-0.0453706
0.0155126,0.00060042,,0.0155126,-0.0433134
0.0156688,0.000744894,,0.0156688,-0.0395924
0.0158251,0.000860742,,0.0158251,-0.0343519
0.0159813,0.000943512,,0.0159813,-0.0277944
0.0161376,0.000990024,,0.0161376,-0.0201724
0.0162938,0.000998489,,0.0162938,-0.011779
0.0164501,0.000968583,,0.0164501,-0.00293614
0.0166063,0.000901455,,0.0166063,0.00601734
0.0167626,0.000799685,,0.0167626,0.0147387
0.0169188,0.000667183,,0.0169188,0.0228943
0.0170751,0.000509041,,0.0170751,0.030172
0.0172313,0.000331338,,0.0172313,0.0362934
0.0173876,0.000140901,,0.0173876,0.0410237
0.0175438,-5.49502e-05,,0.0175438,0.0441814
0.0177001,-0.00024869,,0.0177001,0.0456444
0.0178563,-0.000432873,,0.0178563,0.0453556
0.0180126,-0.00060042,,0.0180126,0.0433247
0.0181688,-0.000744894,,0.0181688,0.0396282
0.0183251,-0.000860742,,0.0183251,0.0344067
0.0184813,-0.000943512,,0.0184813,0.0278599
0.0186376,-0.000990024,,0.0186376,0.0202387
0.0187938,-0.000998489,,0.0187938,0.0118359
0.0189501,-0.000968583,,0.0189501,0.00297506
0.0191063,-0.000901455,,0.0191063,-0.00600235
0.0192626,-0.000799685,,0.0192626,-0.0147499
0.0194188,-0.000667183,,0.0194188,-0.02293
0.0195751,-0.000509041,,0.0195751,-0.0302268
0.0197313,-0.000331338,,0.0197313,-0.0363589
0.0198876,-0.000140901,,0.0198876,-0.04109
0.0200438,5.49502e-05,,0.0200438,-0.0442383
0.0202001,0.00024869,,0.0202001,-0.0456833
0.0203563,0.000432873,,0.0203563,-0.0453706
0.0205126,0.00060042,,0.0205126,-0.0433134
0.0206688,0.000744894,,0.0206688,-0.0395924
0.0208251,0.000860742,,0.0208251,-0.0343519
0.0209813,0.000943512,,0.0209813,-0.0277944
0.0211376,0.000990024,,0.0211376,-0.0201724
0.0212938,0.000998489,,0.0212938,-0.011779
0.0214501,0.000968583,,0.0214501,-0.00293614
0.0216063,0.000901455,,0.0216063,0.00601734
0.0217626,0.000799685,,0.0217626,0.0147387
0.0219188,0.000667183,,0.0219188,0.0228943
0.0220751,0.000509041,,0.0220751,0.030172
0.0222313,0.000331338,,0.0222313,0.0362934
0.0223876,0.000140901,,0.0223876,0.0410237
0.0225438,-5.49502e-05,,0.0225438,0.0441814
0.0227001,-0.00024869,,0.0227001,0.0456444
0.0228563,-0.000432873,,0.0228563,0.0453556
0.0230126,-0.00060042,,0.0230126,0.0433247
0.0231688,-0.000744894,,0.0231688,0.0396282
0.0233251,-0.000860742,,0.0233251,0.0344067
0.0234813,-0.000943512,,0.0234813,0.0278599
0.0236376,-0.000990024,,0.0236376,0.0202387
0.0237938,-0.000998489,,0.0237938,0.0118359
0.0239501,-0.000968583,,0.0239501,0.00297506
0.0241063,-0.000901455,,0.0241063,-0.00600235
0.0242626,-0.000799685,,0.0242626,-0.0147499
0.0244188,-0.000667183,,0.0244188,-0.02293
0.0245751,-0.000509041,,0.0245751,-0.0302268
0.0247313,-0.000331338,,0.0247313,-0.0363589
0.0248876,-0.000140901,,0.0248876,-0.04109
0.0250438,5.49502e-05,,0.0250438,-0.0442383
0.0252001,0.00024869,,0.0252001,-0.0456833
0.0253563,0.000432873,,0.0253563,-0.0453706
0.0255126,0.00060042,,0.0255126,-0.0433134
0.0256688,0.000744894,,0.0256688,-0.0395924
0.0258251,0.000860742,,0.0258251,-0.0343519
0.0259813,0.000943512,,0.0259813,-0.0277944
0.0261376,0.000990024,,0.0261376,-0.0201724
0.0262938,0.000998489,,0.0262938,-0.011779
0.0264501,0.000968583,,0.0264501,-0.00293614
0.0266063,0.000901455,,0.0266063,0.00601734
0.0267626,0.000799685,,0.0267626,0.0147387
0.0269188,0.000667183,,0.0269188,0.0228943
0.0270751,0.000509041,,0.0270751,0.030172
0.0272313,0.000331338,,0.0272313,0.0362934
0.0273876,0.000140901,,0.0273876,0.0410237
0.0275438,-5.49502e-05,,0.0275438,0.0441814
0.0277001,-0.00024869,,0.0277001,0.0456444
0.0278563,-0.000432873,,0.0278563,0.0453556
0.0280126,-0.00060042,,0.0280126,0.0433247
0.0281688,-0.000744894,,0.0281688,0.0396282
0.0283251,-0.000860742,,0.0283251,0.0344067
0.0284813,-0.000943512,,0.0284813,0.0278599
0.0286376,-0.000990024,,0.0286376,0.0202387
0.0287938,-0.000998489,,0.0287938,0.0118359
0.0289501,-0.000968583,,0.0289501,0.00297506
0.0291063,-0.000901455,,0.0291063,-0.00600235
0.0292626,-0.000799685,,0.0292626,-0.0147499
