X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.0509813,0.000943512,,0.0509813,0.000963606
0.0511376,0.000990024,,0.0511376,0.000989663
0.0512938,0.000998489,,0.0512938,0.000977689
0.0514501,0.000968583,,0.0514501,0.000928143
0.0516063,0.000901455,,0.0516063,0.000842928
0.0517626,0.000799685,,0.0517626,0.000725321
0.0519188,0.000667183,,0.0519188,0.000579839
0.0520751,0.000509041,,0.0520751,0.000412075
0.0522313,0.000331338,,0.0522313,0.000228475
0.0523876,0.000140901,,0.0523876,3.60949e-05
0.0525438,-5.49502e-05,,0.0525438,-0.000157672
0.0527001,-0.00024869,,0.0527001,-0.00034538
0.0528563,-0.000432873,,0.0528563,-0.000519816
0.0530126,-0.00060042,,0.0530126,-0.000674275
0.0531688,-0.000744894,,0.0531688,-0.000802822
0.0533251,-0.000860742,,0.0533251,-0.000900517
0.0534813,-0.000943512,,0.0534813,-0.000963605
0.0536376,-0.000990024,,0.0536376,-0.000989663
0.0537938,-0.000998489,,0.0537938,-0.000977689
0.0539501,-0.000968583,,0.0539501,-0.000928143
0.0541063,-0.000901455,,0.0541063,-0.000842928
0.0542626,-0.000799685,,0.0542626,-0.000725321
0.0544188,-0.000667183,,0.0544188,-0.000579839
0.0545751,-0.000509041,,0.0545751,-0.000412075
0.0547313,-0.000331338,,0.0547313,-0.000228475
0.0548876,-0.000140901,,0.0548876,-3.60951e-05
0.0550438,5.49502e-05,,0.0550438,0.000157672
0.0552001,0.00024869,,0.0552001,0.00034538
0.0553563,0.000432873,,0.0553563,0.000519816
0.0555126,0.00060042,,0.0555126,0.000674275
0.0556688,0.000744894,,0.0556688,0.000802822
0.0558251,0.000860742,,0.0558251,0.000900517
0.0559813,0.000943512,,0.0559813,0.000963606
0.0561376,0.000990024,,0.0561376,0.000989663
0.0562938,0.000998489,,0.0562938,0.000977689
0.0564501,0.000968583,,0.0564501,0.000928143
0.0566063,0.000901455,,0.0566063,0.000842928
0.0567626,0.000799685,,0.0567626,0.000725321
0.0569188,0.000667183,,0.0569188,0.000579839
