X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
3.31567,0.000744894,,3.31567,0.00307427
3.31582,0.000860742,,3.31582,0.00353464
3.31598,0.000943512,,3.31598,0.00386108
3.31614,0.000990024,,3.31614,0.00404232
3.31629,0.000998489,,3.31629,0.00407218
3.31645,0.000968583,,3.31645,0.00394962
3.31661,0.000901455,,3.31661,0.00367884
3.31676,0.000799685,,3.31676,0.00326911
3.31692,0.000667183,,3.31692,0.00273466
3.31707,0.000509041,,3.31707,0.00209429
3.31723,0.000331338,,3.31723,0.00137095
3.31739,0.000140901,,3.31739,0.000591081
3.31754,-5.49502e-05,,3.31754,-0.000216163
3.3177,-0.00024869,,3.3177,-0.00101994
3.31786,-0.000432873,,3.31786,-0.00178885
3.31801,-0.00060042,,3.31801,-0.0024922
3.31817,-0.000744894,,3.31817,-0.0031014
3.31832,-0.000860742,,3.31832,-0.00359124
3.31848,-0.000943512,,3.31848,-0.00394117
3.31864,-0.000990024,,3.31864,-0.00413638
3.31879,-0.000998489,,3.31879,-0.00416853
3.31895,-0.000968583,,3.31895,-0.00403626
3.31911,-0.000901455,,3.31911,-0.00374521
3.31926,-0.000799685,,3.31926,-0.00330778
3.31942,-0.000667183,,3.31942,-0.00274238
3.31957,-0.000509041,,3.31957,-0.00207255
3.31973,-0.000331338,,3.31973,-0.00132571
3.31989,-0.000140901,,3.31989,-0.000531888
3.32004,5.49502e-05,,3.32004,0.000277651
3.3202,0.00024869,,3.3202,0.00107171
3.32036,0.000432873,,3.32036,0.00182036
3.32051,0.00060042,,3.32051,0.00249601
3.32067,0.000744894,,3.32067,0.00307427
3.32082,0.000860742,,3.32082,0.00353464
3.32098,0.000943512,,3.32098,0.00386108
3.32114,0.000990024,,3.32114,0.00404232
3.32129,0.000998489,,3.32129,0.00407218
3.32145,0.000968583,,3.32145,0.00394962
3.32161,0.000901455,,3.32161,0.00367884
3.32176,0.000799685,,3.32176,0.00326911
3.32192,0.000667183,,3.32192,0.00273466
3.32207,0.000509041,,3.32207,0.00209429
3.32223,0.000331338,,3.32223,0.00137095
3.32239,0.000140901,,3.32239,0.000591082
3.32254,-5.49502e-05,,3.32254,-0.000216162
3.3227,-0.00024869,,3.3227,-0.00101994
3.32286,-0.000432873,,3.32286,-0.00178885
3.32301,-0.00060042,,3.32301,-0.0024922
3.32317,-0.000744894,,3.32317,-0.0031014
3.32332,-0.000860742,,3.32332,-0.00359124
3.32348,-0.000943512,,3.32348,-0.00394117
3.32364,-0.000990024,,3.32364,-0.00413638
3.32379,-0.000998489,,3.32379,-0.00416853
3.32395,-0.000968583,,3.32395,-0.00403626
3.32411,-0.000901455,,3.32411,-0.00374521
3.32426,-0.000799685,,3.32426,-0.00330778
3.32442,-0.000667183,,3.32442,-0.00274238
3.32457,-0.000509041,,3.32457,-0.00207255
3.32473,-0.000331338,,3.32473,-0.00132571
3.32489,-0.000140901,,3.32489,-0.000531887
3.32504,5.49502e-05,,3.32504,0.000277651
3.3252,0.00024869,,3.3252,0.00107171
3.32536,0.000432873,,3.32536,0.00182036
3.32551,0.00060042,,3.32551,0.00249601
3.32567,0.000744894,,3.32567,0.00307427
3.32582,0.000860742,,3.32582,0.00353464
3.32598,0.000943512,,3.32598,0.00386108
3.32614,0.000990024,,3.32614,0.00404232
3.32629,0.000998489,,3.32629,0.00407218
3.32645,0.000968583,,3.32645,0.00394962
3.32661,0.000901455,,3.32661,0.00367884
3.32676,0.000799685,,3.32676,0.00326911
3.32692,0.000667183,,3.32692,0.00273466
3.32707,0.000509041,,3.32707,0.00209429
3.32723,0.000331338,,3.32723,0.00137095
3.32739,0.000140901,,3.32739,0.000591082
3.32754,-5.49502e-05,,3.32754,-0.000216162
3.3277,-0.00024869,,3.3277,-0.00101994
3.32786,-0.000432873,,3.32786,-0.00178885
3.32801,-0.00060042,,3.32801,-0.0024922
3.32817,-0.000744894,,3.32817,-0.0031014
3.32832,-0.000860742,,3.32832,-0.00359124
3.32848,-0.000943512,,3.32848,-0.00394117
3.32864,-0.000990024,,3.32864,-0.00413638
3.32879,-0.000998489,,3.32879,-0.00416853
3.32895,-0.000968583,,3.32895,-0.00403626
3.32911,-0.000901455,,3.32911,-0.00374521
3.32926,-0.000799685,,3.32926,-0.00330778
3.32942,-0.000667183,,3.32942,-0.00274238
3.32957,-0.000509041,,3.32957,-0.00207255
3.32973,-0.000331338,,3.32973,-0.00132571
3.32989,-0.000140901,,3.32989,-0.000531887
3.33004,5.49502e-05,,3.33004,0.000277651
3.3302,0.00024869,,3.3302,0.00107171
3.33036,0.000432873,,3.33036,0.00182036
3.33051,0.00060042,,3.33051,0.00249601
3.33067,0.000744894,,3.33067,0.00307427
